Date,DesignBuilder,Model,Error,Abs_Error,Pct_Error,Abs_Pct_Error,Year,Month_No,Month
2020-06-24,4590.36584,7545.553834,2955.187994,2955.187994,64.37804952818314,64.37804952818314,2020,6,2020-06
2020-06-25,4776.62071,8798.492709,4021.871999,4021.871999,84.19910734340051,84.19910734340051,2020,6,2020-06
2020-06-26,4654.40412,8814.934426,4160.530306,4160.530306,89.38910757925333,89.38910757925333,2020,6,2020-06
2020-06-27,4790.92383,8397.169441,3606.2456110000003,3606.2456110000003,75.27244721400633,75.27244721400633,2020,6,2020-06
2020-06-28,4311.29273,7971.377968,3660.0852379999997,3660.0852379999997,84.89530790918944,84.89530790918944,2020,6,2020-06
2020-06-29,4452.25074,7774.612737,3322.361997,3322.361997,74.62207748434221,74.62207748434221,2020,6,2020-06
2020-06-30,4825.81689,8159.986262,3334.1693720000003,3334.1693720000003,69.09025866499465,69.09025866499465,2020,6,2020-06
2020-07-01,4414.70435,8118.341859,3703.637509,3703.637509,83.89321719811204,83.89321719811204,2020,7,2020-07
2020-07-02,4822.99139,7991.943614,3168.9522239999997,3168.9522239999997,65.70511883082585,65.70511883082585,2020,7,2020-07
2020-07-03,4984.13882,8595.952405,3611.813585,3611.813585,72.46615143436152,72.46615143436152,2020,7,2020-07
2020-07-04,4960.41405,8410.664881,3450.2508310000003,3450.2508310000003,69.55570233093748,69.55570233093748,2020,7,2020-07
2020-07-05,4456.6404,8529.592118,4072.9517180000003,4072.9517180000003,91.39062954237906,91.39062954237906,2020,7,2020-07
2020-07-06,4588.3499,8468.305028,3879.9551280000005,3879.9551280000005,84.56101240230176,84.56101240230176,2020,7,2020-07
2020-07-07,5113.88502,8117.643319,3003.758299,3003.758299,58.737306123476365,58.737306123476365,2020,7,2020-07
2020-07-08,5386.54646,8032.128232,2645.5817720000005,2645.5817720000005,49.11461901694988,49.11461901694988,2020,7,2020-07
2020-07-09,4867.11662,7933.83803,3066.72141,3066.72141,63.00899792288109,63.00899792288109,2020,7,2020-07
2020-07-10,4980.97914,8726.816988,3745.837848,3745.837848,75.20284150396984,75.20284150396984,2020,7,2020-07
2020-07-11,5275.87851,8242.041492,2966.1629820000007,2966.1629820000007,56.221214654163845,56.221214654163845,2020,7,2020-07
2020-07-12,4693.44272,7808.21854,3114.77582,3114.77582,66.36441533050179,66.36441533050179,2020,7,2020-07
2020-07-13,4563.72651,8172.838465,3609.1119549999994,3609.1119549999994,79.08256437128173,79.08256437128173,2020,7,2020-07
2020-07-14,4851.23404,7557.918143,2706.6841029999996,2706.6841029999996,55.79372342547298,55.79372342547298,2020,7,2020-07
2020-07-15,5553.90099,8112.284605,2558.3836149999997,2558.3836149999997,46.06462411927152,46.06462411927152,2020,7,2020-07
2020-07-16,5808.34531,7931.472912,2123.1276020000005,2123.1276020000005,36.55305407453471,36.55305407453471,2020,7,2020-07
2020-07-17,6183.81617,7390.786421,1206.9702509999997,1206.9702509999997,19.518210403075415,19.518210403075415,2020,7,2020-07
2020-07-18,6389.29016,7922.17583,1532.8856700000006,1532.8856700000006,23.991486246728865,23.991486246728865,2020,7,2020-07
2020-07-19,4980.74961,8213.150264,3232.400654,3232.400654,64.89787496063269,64.89787496063269,2020,7,2020-07
2020-07-20,4865.4418,7470.557288,2605.1154880000004,2605.1154880000004,53.543246329655005,53.543246329655005,2020,7,2020-07
2020-07-21,5417.27245,8073.800516,2656.528066,2656.528066,49.03811079319077,49.03811079319077,2020,7,2020-07
2020-07-22,5870.33295,7466.901732,1596.5687820000003,1596.5687820000003,27.19724410180176,27.19724410180176,2020,7,2020-07
2020-07-23,5547.77279,7641.560799,2093.788009,2093.788009,37.74105552365276,37.74105552365276,2020,7,2020-07
2020-07-24,5940.48784,7311.913907,1371.4260670000003,1371.4260670000003,23.086084913187875,23.086084913187875,2020,7,2020-07
2020-07-25,6036.82799,7099.251574,1062.4235840000001,1062.4235840000001,17.599036874330423,17.599036874330423,2020,7,2020-07
2020-07-26,5427.90971,6722.957576,1295.0478659999999,1295.0478659999999,23.859053211848654,23.859053211848654,2020,7,2020-07
2020-07-27,5417.93016,7859.286671,2441.356511,2441.356511,45.060686256612804,45.060686256612804,2020,7,2020-07
2020-07-28,5308.78566,6769.624712,1460.8390520000003,1460.8390520000003,27.517386188840792,27.517386188840792,2020,7,2020-07
2020-07-29,5651.74345,7132.377283,1480.6338329999999,1480.6338329999999,26.197824549166327,26.197824549166327,2020,7,2020-07
2020-07-30,5111.18533,7878.750874,2767.565544,2767.565544,54.14723523633216,54.14723523633216,2020,7,2020-07
2020-07-31,5111.01435,7281.506101,2170.4917509999996,2170.4917509999996,42.46694691827659,42.46694691827659,2020,7,2020-07
2020-08-01,6452.70605,6676.677926,223.97187600000052,223.97187600000052,3.4709759636424247,3.4709759636424247,2020,8,2020-08
2020-08-02,5448.24405,7223.38129,1775.13724,1775.13724,32.581823128866624,32.581823128866624,2020,8,2020-08
2020-08-03,5323.35006,6877.676914,1554.326854,1554.326854,29.19828372136023,29.19828372136023,2020,8,2020-08
2020-08-04,6351.86206,6403.1308,51.268739999999525,51.268739999999525,0.8071450468494513,0.8071450468494513,2020,8,2020-08
2020-08-05,6677.45885,6343.576725,-333.8821250000001,333.8821250000001,-5.00013751488712,5.00013751488712,2020,8,2020-08
2020-08-06,6648.87813,6337.983352,-310.89477799999986,310.89477799999986,-4.6758982781956915,4.6758982781956915,2020,8,2020-08
2020-08-07,5892.65626,6559.6128,666.9565400000001,666.9565400000001,11.318436212330502,11.318436212330502,2020,8,2020-08
2020-08-08,6322.25018,6406.029568,83.77938799999993,83.77938799999993,1.325151419427061,1.325151419427061,2020,8,2020-08
2020-08-09,5095.94382,6301.398788,1205.454968,1205.454968,23.655185586406247,23.655185586406247,2020,8,2020-08
2020-08-10,5015.86984,5908.733176,892.8633359999994,892.8633359999994,17.800767653093633,17.800767653093633,2020,8,2020-08
2020-08-11,5711.52931,5286.085625,-425.4436850000002,425.4436850000002,-7.448857598526448,7.448857598526448,2020,8,2020-08
