Month,Year,Month_No,Days,DesignBuilder_kWh,Model_kWh,Error_kWh,Monthly_Pct_Error,Monthly_Abs_Pct_Error,Daily_MAPE_pct,DesignBuilder_MWh,Model_MWh,Error_MWh
2024-02,2024,2,28,137364.896301,84997.025485,-52367.870815999995,-38.12318301558588,38.12318301558588,31.49956309296555,137.364896301,84.99702548500001,-52.36787081599999
2024-03,2024,3,31,126051.216045,104280.436786,-21770.779258999988,-17.27137582808235,17.27137582808235,20.7545069948356,126.05121604499999,104.28043678600001,-21.770779258999987
2024-04,2024,4,30,106808.77574,133737.453806,26928.678066000008,25.21204636925277,25.21204636925277,35.695152038315705,106.80877574,133.73745380600002,26.928678066000007
2024-05,2024,5,31,123595.00855900001,183820.667845,60225.65928599998,48.728229390631355,48.728229390631355,52.91069012176341,123.59500855900001,183.820667845,60.22565928599998
2024-06,2024,6,30,138815.91758,248297.591169,109481.67358899998,78.86824183970501,78.86824183970501,79.46349787256712,138.81591758000002,248.297591169,109.48167358899998
2024-07,2024,7,31,161768.59614,245701.25895,83932.66280999998,51.8843983398124,51.8843983398124,54.20908371672924,161.76859614,245.70125894999998,83.93266280999998
2024-08,2024,8,31,182241.434,177985.739777,-4255.694222999999,-2.335195750819212,2.335195750819212,10.868060943857918,182.241434,177.98573977700002,-4.255694222999999
2024-09,2024,9,30,151384.39741,77215.137297,-74169.26011300001,-48.99399236773697,48.99399236773697,48.78439786014556,151.38439741,77.215137297,-74.169260113
2024-10,2024,10,31,124959.969916,67513.376367,-57446.593549,-45.971996942394014,45.971996942394014,45.278626997545004,124.959969916,67.513376367,-57.446593549
2024-11,2024,11,30,105090.456233,101871.9334,-3218.52283300001,-3.0626214295464678,3.0626214295464678,20.140754548955993,105.090456233,101.87193339999999,-3.21852283300001
2024-12,2024,12,31,127142.444666,123492.378876,-3650.0657899999933,-2.8708475754014517,2.8708475754014517,25.06117035522625,127.14244466599999,123.492378876,-3.650065789999993
